# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.10.2

battery_spawn_locations::1, vector, 83017809C0240000000000000179090000000000000000017A09C038000000000000
battery_spawn_locations::2, vector, 83017809C0468000000000000179090000000000000000017A09C043800000000000
battery_spawn_locations::3, vector, 83017809C0490000000000000179090000000000000000017A09C04F800000000000
battery_spawn_locations::4, vector, 83017809C0524000000000000179090000000000000000017A09C022000000000000
battery_spawn_locations::5, vector, 83017809C04D8000000000000179090000000000000000017A094035000000000000
battery_spawn_locations::6, vector, 83017809C03B0000000000000179090000000000000000017A09402E000000000000
battery_spawn_locations::7, vector, 83017809BFF00000000000000179090000000000000000017A094022000000000000
battery_spawn_locations::8, vector, 8301780940320000000000000179090000000000000000017A094048800000000000
battery_spawn_locations::9, vector, 8301780940400000000000000179090000000000000000017A09403B000000000000
battery_spawn_locations::10, vector, 8301780940380000000000000179090000000000000000017A09C008000000000000
battery_spawn_locations::11, vector, 8301780940458000000000000179090000000000000000017A09C01C000000000000
battery_spawn_locations::12, vector, 8301780940428000000000000179090000000000000000017A09C046000000000000
battery_spawn_locations::13, vector, 8301780940200000000000000179090000000000000000017A09C04F000000000000
battery_spawn_locations::14, vector, 8301780940280000000000000179090000000000000000017A09C051400000000000
battery_spawn_locations::15, vector, 83017809C0300000000000000179090000000000000000017A09C04C000000000000
battery_spawn_locations::16, vector, 83017809C0200000000000000179090000000000000000017A09C028000000000000
battery_spawn_locations::17, vector, 83017809C01C0000000000000179090000000000000000017A090000000000000000
battery_spawn_locations::18, vector, 8301780940240000000000000179090000000000000000017A094041000000000000
battery_spawn_locations::19, vector, 83017809C02A0000000000000179090000000000000000017A094046000000000000
battery_spawn_locations::20, vector, 83017809C0370000000000000179090000000000000000017A094048800000000000
battery_spawn_locations::21, vector, 83017809C0448000000000000179090000000000000000017A09404D000000000000
battery_spawn_locations::22, vector, 83017809C0420000000000000179090000000000000000017A094042000000000000
battery_spawn_locations::23, vector, 83017809C04A8000000000000179090000000000000000017A09C000000000000000
battery_spawn_locations::24, vector, 83017809C0500000000000000179090000000000000000017A09C045800000000000
battery_spawn_locations::25, vector, 83017809C04F0000000000000179090000000000000000017A09C048800000000000
battery_spawn_locations::26, vector, 83017809C0518000000000000179090000000000000000017A09C047800000000000
battery_spawn_locations::27, vector, 83017809C0400000000000000179090000000000000000017A09C050C00000000000
battery_spawn_locations::28, vector, 83017809404B0000000000000179090000000000000000017A09C03C000000000000
battery_spawn_locations::29, vector, 83017809403C0000000000000179090000000000000000017A09C038000000000000
battery_spawn_locations::30, vector, 83017809C03B0000000000000179090000000000000000017A09C024000000000000
battery_spawn_locations::31, vector, 83017809C0450000000000000179090000000000000000017A094020000000000000
battery_spawn_locations::32, vector, 83017809C03B0000000000000179090000000000000000017A09C03F000000000000
battery_spawn_locations::33, vector, 8301780940380000000000000179090000000000000000017A09C045800000000000
battery_spawn_locations::34, vector, 8301780940478000000000000179090000000000000000017A094026000000000000
battery_spawn_locations::35, vector, 83017809C0470000000000000179090000000000000000017A094039000000000000
battery_spawn_locations::36, vector, 83017809C0000000000000000179090000000000000000017A09C042000000000000
battery_spawn_locations::37, vector, 8301780940280000000000000179090000000000000000017A09C034000000000000
battery_spawn_locations::38, vector, 8301780940448000000000000179090000000000000000017A094034000000000000
battery_spawn_locations::39, vector, 830178093FF00000000000000179090000000000000000017A09404D000000000000
battery_spawn_locations::40, vector, 83017809C0200000000000000179090000000000000000017A094039000000000000
